ID;Property name;Address;Postcode;City;CKCode;Submarket;Completion Quarter;Completion Year;Development status;Type;Type of use;Tenant;Agent;Industry;Type;Floor space;Industrial Space: Subtype;Rent;Move-in Quarter;Move-in Year;Contract Quarter;Contract Year;Contract Duration;Use;gis_x;gis_y
209877;Wohn- und Geschäftshaus;Krossener Straße 2;10245;Berlin;11000000;Friedrichshain;;;Completed;Existing;"BU;";Labo M GmbH;Avison Young;Information Technology;Vermietung;750;;15;Q1;2019;Q4;2018;;BU;13,4636;52,5099
1586;GEMINI QUAI;Carnotstraße 5 - 7;10587;Berlin;11000000;Charlottenburg;Q4;1995;Completed;New Building;"BU;";IAV GmbH;;Business Services;Anschlußmietvertrag;9450;;17,5;Q1;2019;Q1;2019;10;BU;13,31935;52,52261
1586;GEMINI QUAI;Carnotstraße 5 - 7;10587;Berlin;11000000;Charlottenburg;Q4;1995;Completed;New Building;"BU;";IAV GmbH;;Business Services;Vermietung;1200;;12;Q2;2016;Q2;2016;;BU;13,31935;52,52261
98403;;Anna-Louisa-Karsch-Straße 9;10178;Berlin;11000000;Mitte;;;Completed;Existing;"BU;";Tricuramed GmbH;Engel & Völkers;Health and Welfare Service;Vermietung;100;;33;Q2;2023;Q2;2023;;BU;13,40251;52,52137
2724;Römischer Hof;Unter den Linden 10 / Charlottenstraße 44 - 45;10117;Berlin;11000000;Mitte 1a;Q3;2006;Completed;Modernisation;"BU; EH;";n/a;;Arts and Leisure;Vermietung;2380;;37;Q1;2019;Q1;2019;;BU;13,39021;52,51739
2724;Römischer Hof;Unter den Linden 10 / Charlottenstraße 44 - 45;10117;Berlin;11000000;Mitte 1a;Q3;2006;Completed;Modernisation;"BU; EH;";Stiftung Humboldt Forum;BNP Paribas;Not for profit, Charity, Society;Vermietung;1430;;27;Q1;2018;Q4;2017;;BU;13,39021;52,51739
2724;Römischer Hof;Unter den Linden 10 / Charlottenstraße 44 - 45;10117;Berlin;11000000;Mitte 1a;Q3;2006;Completed;Modernisation;"BU; EH;";Flick Gocke Schaumburg;;Legal Services;Vermietung;2390;;23;Q3;2015;Q3;2015;;BU;13,39021;52,51739
67943;Treptowers - Büroturm Treptower;An den Treptowers 1;12435;Berlin;11000000;Mediaspree;Q4;1998;Completed;New Building;"BU;";BIMA;;Public Organisation;Anschlußmietvertrag;17000;;;Q4;2023;Q4;2023;17;BU;13,46162;52,49539
67943;Treptowers - Büroturm Treptower;An den Treptowers 1;12435;Berlin;11000000;Mediaspree;Q4;1998;Completed;New Building;"BU;";BIMA;;Public Organisation;Vermietung;8000;;;Q4;2023;Q4;2023;17;BU;13,46162;52,49539
67943;Treptowers - Büroturm Treptower;An den Treptowers 1;12435;Berlin;11000000;Mediaspree;Q4;1998;Completed;New Building;"BU;";Berliner Immobilien Management;CBRE;Real Estate Services;Vermietung;3570;;;Q2;2019;Q1;2019;;BU;13,46162;52,49539
